,Unnamed: 0,Entity,Year,Annual CO₂ emissions (per capita),Per capita methane emissions in CO₂ equivalents,Per capita greenhouse gas emissions in CO₂ equivalents,Annual CO₂ emissions,Share of annual CO₂ emissions embedded in trade,Share of global annual CO₂ emissions,Coal electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-source-stacked),Gas electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-source-stacked),Oil electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-source-stacked),Nuclear electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-source-stacked),Hydro electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-source-stacked),Wind electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-source-stacked),Solar electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-source-stacked),Bioenergy electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-source-stacked),Other renewable electricity excluding bioenergy per capita - kWh (adapted for visualization of chart per-capita-electricity-source-stacked),Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Fossil fuel electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-fossil-nuclear-renewables),Nuclear electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-fossil-nuclear-renewables),Renewable electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-fossil-nuclear-renewables),Carbon dioxide emissions from buildings,Carbon dioxide emissions from industry,Carbon dioxide emissions from other fuel combustion,Carbon dioxide emissions from transport,Carbon dioxide emissions from manufacturing and construction,Fugitive emissions of carbon dioxide from energy production,Carbon dioxide emissions from electricity and heat,Continent
33,33,Albania,1990,1.6841552,1.236983,3.4783068,5520602.0,0.64723015,0.024288816,,,40.08009288888889,,1842.376460869565,,21.99997815,,,,,,63.917154456489534,440.4468706572578,669.2547335908673,1442.1399467046492,1765.702313374284,2247.7728011061977,40.08009288888889,,1846.2025347826088,310000.0,380000.0,1790000.0,710000.0,2140000.0,15601073.69224842,730000.0,Europe
34,34,Albania,1991,1.3069565,1.2694578,2.9967792,4290226.0,7.546118,0.018503437,,,40.08009288888889,,1842.376460869565,,21.99997815,,,,,,63.917154456489534,440.4468706572578,669.2547335908673,1442.1399467046492,1765.702313374284,2247.7728011061977,40.08009288888889,,1846.2025347826088,360000.0,310000.0,960000.0,540000.0,1420000.0,15601073.69224842,540000.0,Europe
35,35,Albania,1992,0.7668275,1.0273037,2.1563053,2517116.0,15.844184,0.011173192,,,40.08009288888889,,1842.376460869565,,21.99997815,,,,,,63.917154456489534,440.4468706572578,669.2547335908673,1442.1399467046492,1765.702313374284,2247.7728011061977,40.08009288888889,,1846.2025347826088,280000.0,100000.0,290000.0,410000.0,760000.0,15601073.69224842,400000.0,Europe
36,36,Albania,1993,0.71327627,1.0748715,2.050526,2337999.0,14.323071,0.010274305,,,40.08009288888889,,1842.376460869565,,21.99997815,,,,,,63.917154456489534,440.4468706572578,669.2547335908673,1442.1399467046492,1765.702313374284,2247.7728011061977,40.08009288888889,,1846.2025347826088,170000.0,100000.0,220000.0,510000.0,540000.0,15601073.69224842,530000.0,Europe
37,37,Albania,1994,0.5884248,1.2565962,2.0448089,1923806.0,23.330498,0.00836694,,,40.08009288888889,,1842.376460869565,,21.99997815,,,,,,63.917154456489534,440.4468706572578,669.2547335908673,1442.1399467046492,1765.702313374284,2247.7728011061977,40.08009288888889,,1846.2025347826088,160000.0,50000.0,170000.0,640000.0,460000.0,15601073.69224842,600000.0,Europe
38,38,Albania,1995,0.64109814,1.2435274,2.0923746,2089065.1,21.897003,0.008877519,,,40.08009288888889,,1842.376460869565,,21.99997815,,,,,,63.917154456489534,440.4468706572578,669.2547335908673,1442.1399467046492,1765.702313374284,2247.7728011061977,40.08009288888889,,1846.2025347826088,250000.0,100000.0,80000.0,630000.0,490000.0,15601073.69224842,400000.0,Europe
39,39,Albania,1996,0.62159795,1.1910177,1.9730275,2017508.0,49.991882,0.008316819,,,40.08009288888889,,1842.376460869565,,21.99997815,,,,,,63.917154456489534,440.4468706572578,669.2547335908673,1442.1399467046492,1765.702313374284,2247.7728011061977,40.08009288888889,,1846.2025347826088,340000.0,100000.0,110000.0,620000.0,460000.0,15601073.69224842,330000.0,Europe
40,40,Albania,1997,0.47776133,1.1188034,1.7411327,1543009.0,44.32685,0.0063233133,,,40.08009288888889,,1842.376460869565,,21.99997815,,,,,,63.917154456489534,440.4468706572578,669.2547335908673,1442.1399467046492,1765.702313374284,2247.7728011061977,40.08009288888889,,1846.2025347826088,330000.0,50000.0,40000.0,490000.0,240000.0,15601073.69224842,320000.0,Europe
41,41,Albania,1998,0.5466155,1.0799081,1.834988,1754709.0,44.577206,0.0072199022,,,40.08009288888889,,1842.376460869565,,21.99997815,,,,,,63.917154456489534,440.4468706572578,669.2547335908673,1442.1399467046492,1765.702313374284,2247.7728011061977,40.08009288888889,,1846.2025347826088,240000.0,40000.0,50000.0,740000.0,400000.0,15601073.69224842,330000.0,Europe
42,42,Albania,1999,0.9365232,1.0980176,2.1696274,2986196.0,26.877909,0.012015082,,,40.08009288888889,,1842.376460869565,,21.99997815,,,,,,63.917154456489534,440.4468706572578,669.2547335908673,1442.1399467046492,1765.702313374284,2247.7728011061977,40.08009288888889,,1846.2025347826088,240000.0,60000.0,510000.0,1410000.0,490000.0,15601073.69224842,290000.0,Europe
